LandUse,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,LotType,AssessLand,BuiltFAR,BoroCode,BBL,XCoord,YCoord,ZoneMap,Sanborn,TaxMap,PLUTOMapID,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Energy Use (kBtu),Latitude,Longitude,NTA,GeoID,ntaname,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
3,27156,387468,1,34.0,369,74.0,300.0,300.0,98.0,3,3,7425000,14.27,1,1007010062,983336,213543,8b,105S015,10302,1,801.4667754,27637.51808,387468.0,11,30,134.4,253219.8,34423673.2,40.753165,-74.00388,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,4937,55923,1,12.0,0,50.0,98.75,50.0,98.0,3,5,445500,11.33,1,1007990067,985771,210425,8d,105S011,10305,1,300.5341906,5053.121211,63971.0,109,72,124.1,10744.0,4477374.9,40.744149,-73.993721,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,7486,39628,1,6.0,46,72.5,103.25,73.0,103.0,3,5,886500,5.29,1,1007640007,983754,208786,8b,103 032,10304,1,370.4164859,8209.520739,39628.0,89,45,128.1,22305.7,3206866.8,40.739203,-74.001198,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,8280,44004,1,6.0,24,90.0,92.0,90.0,82.0,3,5,720000,5.31,1,1007930020,985182,208880,8d,103 029,10305,1,372.3999604,8651.616247,47304.0,99,87,84.0,594.0,2657020.9,40.739834,-73.996759,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
8,39500,400000,1,11.0,0,200.0,197.5,200.0,198.0,3,4,5535000,10.13,1,1007740019,985259,210946,8d,105S009,10304,1,808.9012323,40891.03781,363130.0,81,78,94.0,6.0,21524918.1,40.745156,-73.996074,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,7406,30375,1,5.0,39,75.0,98.75,75.0,88.0,3,5,437850,4.1,1,1007710068,984726,210369,8d,103 034,10304,1,352.4982576,7606.828353,30983.0,99,58,128.0,847.3,3165246.1,40.744289,-73.998185,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,5628,32424,1,6.0,0,57.0,98.75,57.0,93.0,3,5,759600,5.76,1,1006960013,982804,212248,8b,105S003,10301,1,314.3810126,5749.626343,34694.0,93,81,95.3,6449.7,1584278.2,40.748936,-74.005042,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,5700,30948,1,5.0,0,57.0,100.0,57.0,94.0,2,3,1800000,5.43,1,1007450040,984421,210562,8d,103 038,10303,1,322.9155685,6045.355617,25948.0,107,31,382.8,22214.1,5619176.4,40.744802,-73.999401,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,8983,33547,1,6.5,52,87.0,103.25,87.0,103.0,2,5,702000,3.73,1,1007650047,984398,208858,8d,103 032,10304,1,381.3070506,8990.194181,33547.0,94,54,148.6,803.1,3708234.5,40.740139,-73.999347,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,5925,68940,1,12.0,0,60.0,98.75,54.0,86.0,3,5,751500,11.64,1,1007990012,985748,210321,8d,105S011,10305,1,328.3652015,6257.766858,65000.0,109,62,130.5,64.2,3901164.9,40.743556,-73.994323,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
