BBL,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
3034160001,188400.0,59,42,3.7,0,40.688387,-73.910276,Bushwick South
3017390011,94800.0,60,61,4.9,0.5,40.697781,-73.947809,Bedford
3035200008,171600.0,52,81,4.2,0,40.668475,-73.912351,Brownsville
3070510001,136800.0,46,88,4.9,0.3,40.574607,-73.996292,Seagate-Coney Island
3034420001,147600.0,46,79,5.4,0.2,40.690353,-73.904803,Bushwick North
3012330026,177600.0,99,74,3.8,0.5,40.67438,-73.951443,Crown Heights North
3041550075,212400.0,79,68,5.3,0,40.678276,-73.87596,East New York
3001200020,207775.0,99,91,4.8,0.2,40.697339,-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3030160001,504000.0,38,91,4,0,40.712184,-73.939722,Bushwick South
3032300027,74830.0,88,73,9,0.2,40.694507,-73.929107,Bushwick South
3081290060,127200.0,17,31,12.9,0.3,40.64883,-73.907774,Canarsie
4009710001,74480.0,66,78,4.8,0.5,40.770335,-73.894476,Steinway
4124950065,101175.0,53,71,5.2,0,40.68031,-73.774432,Springfield Gardens North
4107560001,138275.0,88,59,5.7,0.1,40.727134,-73.735077,Queens Village
4111510081,72260.0,88,55,5.2,0.4,40.711753,-73.736624,Queens Village
4032120001,103706.3,88,76,1,0.5,40.714978,-73.853372,Forest Hills
4074100001,73200.0,83,14,7.3,0,40.749036,-73.777213,Bayside-Bayside Hills
4067260070,129600.0,55,43,7.1,0.4,40.740565,-73.809131,Queensboro Hill
4058650050,92575.0,63,58,4.3,0,40.782298,-73.779099,Ft. Totten-Bay Terrace-Clearview
4021280014,98500.0,66,56,3.7,0,40.730941,-73.853164,Forest Hills
4128200001,129600.0,72,12,8.7,0.1,40.685492,-73.729982,Cambria Heights
4071280010,129725.0,72,98,2,0,40.741761,-73.779507,Fresh Meadows-Utopia
4002060003,86518.0,51,58,6.3,0,40.740088,-73.926214,Hunters Point-Sunnyside-West Maspeth
4053280001,78225.0,53,84,5,0,40.761249,-73.811808,Murray Hill
4101780001,187375.0,59,62,6.4,0,40.69719,-73.787192,South Jamaica
4073120001,164525.0,63,84,3,0,40.756139,-73.772862,Bayside-Bayside Hills
4047290001,153725.0,61,82,3.7,0,40.78365,-73.807838,Whitestone
4109440301,180125.0,59,78,4.4,0,40.70646,-73.753579,Hollis
4099190006,240055.0,47,91,3.7,0,40.713094,-73.780468,Jamaica
4062030001,76800.0,95,78,6.6,0,40.759517,-73.784029,Bayside-Bayside Hills
