LandUse,BldgArea,NumBldgs,NumFloors,ProxCode,LotType,BoroCode,BBL,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
8.0,102413,1,3.0,1.0,7.0,3,3034420001,1010680,190633,17c,,309 046,31109.0,,1,,,19v2,1.0,1611.89230951,120652.310677,147600.0,46,79,5.4,0.2,40.690353,-73.904803,Bushwick North
2.0,35404,3,4.0,3.0,5.0,1,1010580016,986737,217248,8c,,105N053,10404.0,,1,,,19v2,,454.349862419,12770.3016223,39000.0,94,100,3.9,0.2,40.76261,-73.99073,Clinton
8.0,76794,1,4.0,3.0,4.0,1,1019250019,997563,232893,6a,,107N072,10705.0,,1,,,19v2,1.0,722.906839051,31780.3736739,110480.0,114,86,4.5,0.0,40.806063,-73.95134,Central Harlem South
2.0,48980,1,4.0,2.0,3.0,3,3023100004,995549,201702,12c,,304 013,30804.0,,1,,,19v2,,466.048188453,13419.2565381,48980.0,109,86,3.6,0.5,40.72046,-73.958996,North Side-South Side
3.0,68731,1,13.0,3.0,5.0,1,1015100072,995637,222439,8c,,108S012,10514.0,,1,,,19v2,,362.330213135,8033.75188025,68018.0,104,57,6.0,0.0,40.777405,-73.959214,Upper East Side-Carnegie Hill
3.0,65750,1,11.0,3.0,5.0,1,1010450051,988234,218326,8c,,106W021,10403.0,,1,,,19v2,,398.667389755,9932.06347219,71010.0,95,69,4.6,0.5,40.765933,-73.985065,Clinton
3.0,32342,1,6.0,2.0,5.0,1,1017260061,1000098,234278,6a,,107N101,10607.0,,1,,,19v2,,354.575048615,7664.18469733,34606.0,99,35,3.6,0.0,40.809706,-73.942194,Central Harlem North-Polo Grounds
3.0,158445,1,13.0,2.0,3.0,1,1014120071,995099,221469,8c,,108S004,10509.0,,1,,,19v2,,532.575098774,16995.3269973,158445.0,107,77,5.5,0.5,40.774711,-73.96118,Upper East Side-Carnegie Hill
3.0,32832,1,6.0,2.0,5.0,1,1021720120,1003806,252786,3a,,112 037,10803.0,,1,,,19v2,,351.92483144,7623.23852937,32832.0,88,70,1.2,0.9,40.860734,-73.929139,Washington Heights North
2.0,49135,1,5.0,1.0,5.0,2,2029500030,1014324,246930,3d,,215 085,21105.0,,1,,,19v2,,602.86150325,20197.7690943,60141.0,93,100,3.8,0.1,40.844174,-73.89167,East Tremont
3.0,115525,1,30.0,2.0,3.0,1,1014050072,994184,219844,8c,,106E050,10509.0,,1,,,19v2,,349.445950092,7395.53081021,122702.0,47,85,7.8,0.0,40.770325,-73.964381,Upper East Side-Carnegie Hill
3.0,33900,1,6.0,3.0,5.0,1,1007420022,983793,209930,8b,,103 037,10303.0,,1,,,19v2,,362.086542837,8188.97511568,36443.0,91,79,4.9,0.0,40.742595,-74.00149,Hudson Yards-Chelsea-Flatiron-Union Square
3.0,192445,1,19.5,2.0,3.0,1,1013850037,993967,219963,8c,,106E049,10508.0,,1,,,19v2,,515.811666389,16119.5079693,173500.0,91,32,7.3,0.0,40.770553,-73.964897,Upper East Side-Carnegie Hill
3.0,62272,1,8.0,3.0,5.0,1,1015190046,997315,224274,9a,Y,108S033,10514.0,,1,,,19v2,,415.465644617,10775.3475624,70056.0,78,75,5.3,0.7,40.782434,-73.95269,Upper East Side-Carnegie Hill
3.0,65656,1,9.0,2.0,5.0,1,1015060065,996499,225923,6b,,108S032,10513.0,,1,,,19v2,,413.575174103,10684.2452503,65656.0,97,32,4.5,0.0,40.787087,-73.955962,Upper East Side-Carnegie Hill
3.0,57900,1,6.0,3.0,5.0,3,3053740041,991445,172071,22c,,310A052,31609.0,,1,,,19v2,,598.492945381,16069.6426837,55051.0,81,42,3.3,0.9,40.639224,-73.973329,Kensington-Ocean Parkway
3.0,203490,1,17.0,2.0,3.0,1,1013850032,993916,219872,8c,,106E049,10508.0,,1,,,19v2,,505.032965259,15302.9019401,206989.0,91,54,6.7,0.0,40.76995,-73.964681,Upper East Side-Carnegie Hill
3.0,32762,1,9.0,2.0,5.0,1,1014970005,995263,223750,8c,,108S021,10513.0,,1,,,19v2,,316.188911284,5444.76004538,35055.0,106,74,4.3,0.0,40.780719,-73.960563,Upper East Side-Carnegie Hill
